,Topology,RSS,AICc,AICc Rank,RSS Rank,f
23,PI3KDephosByErk_MekPhosByPI3K,0.109729,-118.05006458332973,21,75,1575
24,PI3KDephosByErk_PI3KPhosByMek,0.3704,-103.45122682626307,110,120,13200
25,PI3KDephosByErk_MekDephosByAkt,0.370713,-103.44109071956052,111,123,13653
26,MekPhosByPI3K_PI3KPhosByMek,0.153563,-114.01689798417513,49,88,4312
27,MekPhosByPI3K_MekDephosByAkt,0.109486,-118.07666861311208,20,72,1440
28,PI3KPhosByMek_MekDephosByAkt,0.42181,-101.89156915134227,116,124,14384
29,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K,0.0749165,-117.91545322539716,23,22,506
30,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk,0.241365,-103.87621941829097,104,102,10608
31,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K,0.0751595,-117.87659288066065,24,30,720
32,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek,0.241539,-103.86757173638996,105,105,11025
33,RafPhosByTGFbR_PI3KPhosByTGFbR_MekDephosByAkt,0.241364,-103.8762691356272,103,101,10403
34,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.0779753,-117.43523782676027,32,52,1664
35,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.07836599999999999,-117.37526122736038,35,58,2030
36,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.07720729999999999,-117.55401499949268,29,48,1392
37,RafPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.07802089999999999,-117.42822227105331,34,54,1836
38,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.0773242,-117.53585947433969,30,50,1500
39,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.242128,-103.8383450019056,107,107,11449
40,RafPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.244714,-103.71086096453203,108,109,11772
41,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.07604780000000001,-117.73559806583866,28,41,1148
42,RafPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.07800080000000001,-117.43131414867463,33,53,1749
43,RafPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.282252,-101.99833967818476,114,111,12654
44,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.0755303,-117.81753634225183,26,37,962
45,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.0179072,-135.08950874593467,5,7,35
46,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.0778097,-117.4607499203315,31,51,1581
47,PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.07481289999999999,-117.93205918519386,22,18,396
48,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.0758135,-117.77262662059114,27,39,1053
49,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.366997,-98.84769906163078,121,117,14157
50,PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.367015,-98.84711051539436,122,118,14396
51,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.0753792,-117.84156664658559,25,35,875
52,PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.0381254,-126.02137442513187,9,8,72
53,PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.366989,-98.84796064700163,120,116,13920
54,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.110843,-113.21456571720597,57,76,4332
55,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.107806,-113.54794335860444,53,66,3498
56,RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.109661,-113.34321767688513,56,74,4144
57,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.109523,-113.3583282708958,55,73,4015
58,RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,0.10913,-113.40146515974166,54,69,3726
59,RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.161752,-108.67917156846165,85,89,7565
60,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.119023,-112.36014212428005,62,81,5022
61,PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.202286,-105.99575269372086,97,100,9700
62,PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.370712,-98.72683737537294,123,122,15006
63,MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.124343,-111.83541663392849,64,84,5376
64,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk,0.07602660000000001,-114.07227712996755,46,40,1840
65,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K,0.01744,-131.74007945680495,8,6,48
66,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek,0.07622380000000001,-114.04119147996836,48,43,2064
67,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekDephosByAkt,0.00575461,-145.0452612059523,2,3,6
68,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K,0.0748948,-114.25226293203238,40,21,840
69,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek,0.241735,-100.19117146051214,118,106,12508
70,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekDephosByAkt,0.242177,-100.16925011334567,119,108,12852
71,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek,0.0746561,-114.29056965479269,37,14,518
72,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_MekDephosByAkt,0.0747023,-114.28314590068604,38,15,570
73,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KPhosByMek_MekDephosByAkt,0.171707,-104.29580204831299,102,94,9588
74,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.0780617,-113.7552820029583,51,56,2856
75,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.0821206,-113.14700969651561,58,61,3538
76,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.07876010000000001,-113.64839819717307,52,59,3068
77,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.178235,-103.84804162720513,106,97,10282
78,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,0.0780441,-113.75798786015122,50,55,2750
79,RafPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.07620299999999999,-114.04446649461866,47,42,1974
80,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.128359,-107.78730417110688,89,85,7565
81,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.0750533,-114.226894144987,42,26,1092
82,RafPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.171122,-104.33675544965037,101,92,9292
83,RafPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.097519,-111.0847097088114,71,64,4544
84,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.00504755,-146.61844075397738,0,1,0
85,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.13494,-107.18731365618363,91,87,7917
86,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.049899300000000014,-119.12519278333937,15,10,150
87,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.0753857,-114.17386525631882,45,36,1620
88,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,0.0749636,-114.24124452988737,41,24,984
89,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0751279,-114.21497254529771,44,29,1276
90,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.107654,-109.89820791167779,77,65,5005
91,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.0748414,-114.2608219849156,39,19,741
92,PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.296738,-97.73108134345964,124,112,13888
93,PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.07507710000000001,-114.22308945250111,43,28,1204
94,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.111336,-109.49464460516435,79,78,6162
95,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.199736,-102.48131854360753,112,98,10976
96,RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.111692,-109.4563354813933,80,79,6320
97,RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.132578,-107.39922266096013,90,86,7740
98,PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.201192,-102.39416036653098,113,99,11187
99,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K,0.00568001,-142.268507225703,3,2,6
100,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek,0.0044091,-145.30789610125834,1,0,0
101,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekDephosByAkt,0.07555060000000001,-111.21431157987001,70,38,2660
102,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek,0.075068,-111.29121071209335,68,27,1836
103,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_MekDephosByAkt,0.08163010000000001,-110.28556634721372,75,60,4500
104,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.119162,-105.74613620292183,99,82,8118
105,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.0119847,-133.3083731098343,7,5,35
106,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.07471439999999999,-111.34786900949985,66,16,1056
107,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.241469,-97.27104993967389,125,103,12875
108,RafPhosByTGFbR_PI3KPhosByTGFbR_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0749714,-111.30666265551847,67,25,1675
109,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.118667,-105.79608813121678,98,80,7840
110,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.170978,-101.41352442617999,117,91,10647
111,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.07637460000000001,-111.08414098329563,72,44,3168
112,RafPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.164167,-101.90133271645576,115,90,10350
113,RafPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0828747,-110.103985202162,76,62,4712
114,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.07121389999999997,-111.92368685624368,63,11,693
115,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.0752121,-111.2681976780327,69,33,2277
116,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.07661810000000001,-111.04594305009664,73,45,3285
117,PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.07671660000000001,-111.03052579408624,74,46,3404
118,PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0741678,-111.43598202059795,65,12,780
119,RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.110985,-106.59920246069417,94,77,7238
120,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek,0.07519769999999999,-108.87049540066153,83,31,2573
121,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_MekDephosByAkt,0.00873365,-134.70574257343887,6,4,24
122,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_PI3KPhosByMek_MekDephosByAkt,0.0767568,-108.62423936254785,86,47,4042
123,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0747964,-108.93470607948188,82,17,1394
124,RafPhosByTGFbR_PI3KPhosByTGFbR_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.07520189999999999,-108.8698251861129,84,32,2688
125,RafPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0868312,-107.14435109621787,92,63,5796
126,PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0746411,-108.95964761920112,81,13,1053
127,RafPhosByTGFbR_PI3KPhosByTGFbR_RafPhosByPI3K_PI3KDephosByErk_MekPhosByPI3K_PI3KPhosByMek_MekDephosByAkt,0.0748803,-106.92125308238285,93,20,1860
