<<<<<<< HEAD
,,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
TSC2,0,1.0119511283447367,0.4641466875995945,0.8291837379363733,0.7617298179381887,1.3186579552322464,1.1389146646641628,0.8411596541458605,0.6672391104383105,0.8490588368623319,1.960995913413913
TSC2,1,0.4743378883351055,0.5676755634105491,0.7437952464714092,0.9245838331291375,1.6114574513516255,1.236379145047159,1.3107914315274152,1.2685346375735782,1.2460158353147048,1.3288196377671988
TSC2,2,0.905655884010288,0.9220215916122577,0.5780870488312081,1.0514779542299144,1.678181440313503,1.4015772763488452,0.8229916713773786,0.6996828314294006,0.8536872485937305,1.193578109138815
TSC2,3,0.5190186648882645,0.8632899560864162,0.7612728763802481,0.18657852161721775,0.7788607211361593,1.1617175161760527,1.366368928663494,1.0452435977138073,1.434037477574885,0.9570252373711018
TSC2,4,1.0446745252076757,0.7985186072425418,1.0381103558885878,1.4129220031500933,1.4631615529571456,0.8708624085452152,0.8042262206187161,1.4262729703718176,0.8987783559230575,0.6240036682986524
mTOR-pS2448,1,1.1583928165974169,0.7689280221822264,0.7404767573055386,1.1076133043655598,1.26418149407595,1.1854239996246194,0.9027250193996141,1.8805722438714232,0.8191247170905336,0.7464414572807915
mTOR-pS2448,2,1.6637111398598625,1.1183900889571594,0.7648896429072407,0.7033783600329944,1.0739421428151812,1.3454139961209386,0.7915063561248772,0.7157787148271508,0.5844834499221395,1.3255184481441662
mTOR-pS2448,3,0.901173732742817,0.8130049797274086,0.9206817656759961,1.527848443345601,0.6932592322864806,0.8624235464122184,0.9025612486188795,0.4031056384390693,0.8700403587837476,0.8185199676307106
S6K-pT389,1,1.8430145983635016,1.2221752437977482,0.5433242558182146,,,,,,,
S6K-pT389,2,1.6311790393431285,1.3214889474374547,0.5191713577233321,,,,,,,
S6K-pT389,3,0.8230432403052812,2.225216260236349,0.4765648866864118,,,,,,,
S6K-pT389,4,1.4324122926706373,1.589626817157184,0.5130201667426528,,,,,,,
=======
,,D,T,E,EM72,EM48,EM24,EM1.25,M72,M48,M24
4E-BP1 pT3746,2,0.679982374303386,0.731808370685173,0.982722853874282,0.903650438236746,0.859161321966898,1.51744378257037,1.42258369084611,0.768557164588187,1.02334370168956,0.703807696047947
4E-BP1 pT3746,3,0.609016800500849,1.00936921057464,1.23103322847759,1.44231627240009,1.17805853608426,1.07265043533276,1.12262786842891,0.824403973734532,0.983888534325294,1.17892100438701
