,,D,T,E,EA72,EA48,EA24,EA1.25,A72,A48,A24
PRAS40-pS183,2,0.6811981855491799,0.8621034353881406,0.9113217082666777,0.688964306800698,1.052171685746246,1.0445844151355752,1.2500332591141967,0.5974170966321067,0.9184121989241811,0.7781522931981587
PRAS40-pS183,3,1.0246175731856373,1.1567715978339403,0.8487281307032642,0.4522268970595124,0.4132007711921011,0.5963868557297403,1.055509428597696,0.9715696522968731,1.4491721192921665,1.3034833897218085
PRAS40-pS183,4,3.2012720754939554,1.890224484066928,1.7148059142896006,0.7220989101104099,0.7416670999166282,0.5053455744557375,0.7958172902900063,0.902269625222212,0.3791370577740164,0.3358509582435391
SMAD2-pS465-467,0,0.4114495877958687,0.7740358986952419,1.5922540326478396,0.8601111636942456,1.003554309945607,1.3044817130435036,1.7176936953961524,0.5626546666105743,0.7523697720463923,0.9737394427751467
SMAD2-pS465-467,1,0.5358736413761209,0.7219663093416785,1.4954401031200308,0.8725898120478347,1.5657855422847542,1.3923402621979097,2.1347919055769715,0.582595821280666,0.5429826157605763,0.6816722808964448
SMAD2-pS465-467,2,0.817454664079469,1.0458744236530682,1.4764411694217756,1.0128094186867806,1.2503068053200108,1.7095085115275563,1.4553368807130849,0.5142029530098421,0.5665886111406456,0.563541648423842
SMAD2-pS465-467,3,0.5033750412364965,0.8845546327717596,1.263438258029759,0.6713831449570747,0.8685529869019898,1.3528674683116082,1.8008011849622039,0.8824307556037747,1.0483325615807007,0.6503504062593637
SMAD2-pS465-467,4,0.6902282677074801,1.1545646802570453,2.5086902993868154,1.7024955467548373,1.8598829236205556,1.6859508162993493,1.899275791753236,0.7001768243552492,0.4620339620420214,0.45471367973990273
TSC2,0,1.0119511283447367,0.4641466875995945,0.8291837379363733,0.7617298179381887,1.3186579552322464,1.1389146646641628,0.8411596541458605,0.6672391104383105,0.8490588368623319,1.960995913413913
TSC2,1,0.4743378883351055,0.5676755634105491,0.7437952464714092,0.9245838331291375,1.6114574513516255,1.236379145047159,1.3107914315274152,1.2685346375735782,1.2460158353147048,1.3288196377671988
TSC2,2,0.905655884010288,0.9220215916122577,0.5780870488312081,1.0514779542299144,1.678181440313503,1.4015772763488452,0.8229916713773786,0.6996828314294006,0.8536872485937305,1.193578109138815
TSC2,3,0.5190186648882645,0.8632899560864162,0.7612728763802481,0.18657852161721775,0.7788607211361593,1.1617175161760527,1.366368928663494,1.0452435977138073,1.434037477574885,0.9570252373711018
