,pAkt_1,pAkt_10,pAkt_2,pAkt_3,pAkt_4,pAkt_5,pAkt_6,pAkt_7,pAkt_8,pAkt_9,pS6K_1,pS6K_2,pS6K_3,pS6K_4,pS6K_5,pS6K_6,pS6K_7,pS6K_8,pSmad1_1,pSmad1_2,pSmad1_3,pSmad1_4,pSmad1_5,pSmad1_6,ppErk_1,ppErk_10,ppErk_2,ppErk_3,ppErk_4,ppErk_5,ppErk_6,ppErk_7,ppErk_8,ppErk_9
85,0.0,0.0,9.340081341679962e-08,0.0,0.0,0.0006370610867266757,0.0,0.0,0.0006369813921022205,0.0,0.0,0.01650964077020234,0.0,0.016441974399731052,0.0,0.010887058422119011,0.0,0.0,0.0,0.0,1.44342780821205e-05,0.0,0.00012674360899467274,0.0,0.0,1.1482370609883219e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0413714335300028e-10
86,0.0,0.0,0.0,0.0,0.0,0.00606732081591943,0.0,0.0,0.006061098430141243,0.0,0.0,1.819107339429138e-06,0.0,1.823151023927494e-06,0.0,1.1490398037494742e-06,0.0,0.0,0.0,0.0,1.3378337904157434e-06,0.0,1.3479373389913007e-05,0.0,0.0,0.0,0.0,0.0,2.8373606028253562e-05,0.0,0.0,2.8088458066122257e-05,0.0,6.897840876263217e-08
87,0.0,0.0,0.0,0.0,0.0,0.006082283381690701,0.0,0.0,0.006211132660645546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3731380530401793e-06,0.0,0.0,0.0,0.0,4.702087608166039e-10,1.800799509510398e-10,0.0,0.0,0.0,0.0,0.0,0.0,6.842242328275461e-10
88,0.0,0.0,5.556957869967682e-07,0.0,4.61206253576929e-07,0.00045219578238270275,0.0,0.0,0.0004523299264640457,0.0,0.0,0.00689409357947568,0.0,0.0070122348111993915,0.0,0.0054340980443328135,0.0,0.0,0.0,0.0,3.058687709955876e-05,0.0,7.689610714400885e-06,0.0,0.0,1.1664269550237805e-10,6.622258297284134e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,9.81014876333397e-07,4.961552302340522e-08,1.0306303993568022e-06,0.0008489806796789789,0.0,0.0,0.0008476315122054601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.039603323200083e-05,0.0,0.0,0.0,0.0,0.0,0.00017444220912106456,0.0,0.0,0.00017471476235944236,0.0,0.0
90,0.0,0.0,6.282747964547752e-06,0.0,5.334207010321279e-06,0.0051063929117800555,0.0,0.0,0.00510746933021089,0.0,0.0,1.7562409198035311e-06,0.0,1.7172546762367347e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.0559031767296574e-06,0.0,3.5961537140138944e-05,0.0,0.0,1.5126033758861013e-10,1.779199010343291e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,6.438942354192179e-06,0.0,0.0,0.001886788116164606,0.0,0.0,0.0018818325312532913,0.0,0.0,0.0005009583442756593,0.0,0.0004943043448264461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4386542575527415e-05,0.0,0.0,5.326228347257711e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.759570846450515e-11
92,0.0,0.0,0.0,8.375582782660373e-06,0.0,0.0014155082819640175,0.0,0.0,0.0014168564609495782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.470374577650091e-07,0.0,0.0,8.629482351807383e-06,0.0,0.0,5.721864226870821e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,3.125366611733682e-06,5.362556318999623e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001316083704416826,0.0,0.0,2.984279490192421e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.688249540165998e-11
94,0.0,0.0,2.1607152667080243e-07,0.0,6.692338017089128e-08,0.0019711876719339383,0.0,0.0,0.0019707623803106866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012393030732660293,0.0,0.0,0.0,7.344169716816396e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,5.402112943642123e-07,0.0,0.17015730742139556,0.0,0.0,0.17015887298614096,0.0,0.0,6.9010756931220385e-06,0.0,6.901186836216766e-06,0.0,6.79240073964138e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.284278031008171e-06,0.0,0.0,1.1823431123048067e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5933924159035087e-11
96,0.0,0.0,1.4886813023626266e-08,0.0,1.1276368980933649e-08,6.787940302828942e-06,0.0,0.0,6.775598993162893e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399721070276087e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,2.7165817020335936e-06,2.0226922825550275e-07,2.9188509302890964e-06,0.001059191946078064,0.0,0.0,0.0010558665529827316,0.0,0.0,2.2728244175596046e-08,0.0,2.0694571389867633e-08,0.0,0.0,0.0,0.0,0.0,6.874759321817692e-07,3.58143353196283e-07,0.0,2.3949673950696138e-05,0.0,0.0,0.0,6.452823757101267e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.1432406562227049e-11
98,0.0,0.0,0.0,0.0,0.0,0.0014695768441401746,0.0,0.0,0.0014656340188370365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582442727965372e-07,1.6595763909776906e-06,0.0,0.0001178043654110894,0.0,0.0,0.0,1.0800249583553523e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,2.6558494885087214e-05,1.5677264687319337e-05,0.0033852181715459118,0.0,0.0,0.003384347038037916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022869928324986688,0.0,0.0,2.1231852542769047e-07,0.0,0.0,0.002005368292827825,0.0,0.0,0.002043308472764238,0.0,2.0321339775364322e-06
